product_id,product_name,category,star_rating,predicted_star,predicted_confidence,mismatch,suspicion,fake_category,full_text
147386473,Мини стиральная машинка фиолетовый,HomeAppliances,1,5,0.9933347250753216,4,3.973338900301287,very_suspicious,"Товар понравился, супер, я просто неправильно нажала звездочки, товар супер, доставка на высшем уровне, спасибо, всё понравилось, отстирывает хорошо, я купила чтоб сыночек носки стирал, всё супер."
133963600,"PRYME N5095 15.6"" / 16 Гб / SSD 512 Гб / Win 11 Pro / FHK14BK25",Laptops,1,5,0.983908223802038,4,3.935632895208152,very_suspicious,Отличный ноутбук.
145980586,Samsung WW65AK4S21CXLT черный,HomeAppliances,5,1,0.979344774652498,4,3.917379098609992,very_suspicious,"Ужас, дірілдеп кетті ғой соңында."
132428983,"Apple MacBook Air 13 2022 13.6"" / 16 Гб / SSD 256 Гб / macOS / MC7X4RU/A",Laptops,1,5,0.9649453298493172,4,3.859781319397269,very_suspicious,"Керемет, өте ыңғайлы, жылдамдық өте жақсы."
116992751,"Диван раскладной, 300х70 см, обивка велюр, бежевый",Furniture,5,1,0.9435388445207914,4,3.7741553780831656,very_suspicious,"ИП SOFT_MEBELY, изготовлено некачественно, поролон вообще тонкий. Обивка набито криво, прислали товар на несколько дней раньше, ужас, пожалела что у них заказала. Подушки набиты остатками, полупустые. Не советую."
116359419,Невская косметика крем Гиалуроновый для области вокруг глаз 25 мл,Beauty,5,1,0.92649581499298,4,3.70598325997192,very_suspicious,"Ужас 25 миллиграмм совсем, кышкентай 1 аптага жетпейдв."
130684376,Весна косметика крем Главаптека Ретинол для лица 45 г,Beauty,5,1,0.9014073245817816,4,3.6056292983271265,very_suspicious,Ещё не полозвалось.
143983395,"Axis_ y крем для лица и сыворотка,сыворотка вокруг глаз набор по уходу за лицом для женщин",Beauty,5,1,0.900209407836542,4,3.600837631346168,very_suspicious,Ішінде куттайго дым жоқ сияқты сығылмайды.
113137931,Apple iPhone 15 256Gb NanoSIM+eSIM голубой,Smartphones,1,5,0.8672394871441736,4,3.4689579485766946,very_suspicious,"Здравствуйте! Что хочется сказать: выразить огромное недовольство, работе Каспи и курьерской службе! За до сих пор неполученный, оплаченный полностью товар! А телефон наверняка хороший."
136436225,Samsung Galaxy A36 5G 8 ГБ/128 ГБ белый,Smartphones,1,5,0.8381832773237217,4,3.3527331092948867,very_suspicious,Телефон отличный
146437491,Round Lab Travel-набор средств с берёзовым соком Round Lab набор по уходу за лицом унисекс,Beauty,1,5,0.8128602338352104,4,3.2514409353408418,very_suspicious,Думала оригинал.
117564377,Погремушка Лесная мастерская «Маракасы с картинкой»,Kids,1,5,0.8093313592117877,4,3.2373254368471507,very_suspicious,"Погремушка қызыма ұнады, биге алганбыз."
106761960,Leadbros MG80-14586B серый,HomeAppliances,1,5,0.791022600092379,4,3.164090400369516,very_suspicious,Товар беспонтовый просто.
110975211,NORF TS100P бордовый,HomeAppliances,1,5,0.7847217078129368,4,3.1388868312517473,very_suspicious,Маған ұнады керемет.
131378652,Конструктор Bricks деталей 164 шт,Kids,5,1,0.78290875863436,4,3.13163503453744,very_suspicious,Джуди уже не та.
123229673,Наушники Xiaomi Redmi Buds 6 Play белый,Headphones,1,5,0.7794485001153042,4,3.117794000461217,very_suspicious,"Кто писал хороший звук, в уши долбитесь что ли, самые беспонтовые наушники."
120849941,"Диван Элегант-Романов, 230х140 см, обивка микровелюр, серый",Furniture,5,1,0.772371555461535,4,3.08948622184614,very_suspicious,"Дорогие отправители, этого чудо, что вы отправили, на фотографии просто красота, а на самом деле ужас. Пожалели поролона, он какой-то худенький, подушки маленькие, пришел с повреждениями, огромное спасибо в кавычках, не ожидал такого качества производителя, это ужас!"
109558899,Погремушка Sobebear жираф,Kids,1,5,0.758821553680777,4,3.035286214723108,very_suspicious,"Жұмсақ, ұстауға ыңғайлы, сапасы күшті."
131227592,Наушники Mizone LiteBuds черный,Headphones,5,1,0.7469992293209307,4,2.987996917283722,very_suspicious,"Магниты в кейсе крепкие, наушники не вываливаются."
148731692,Крем омолаживающий набор (сыворотка-стик + крем) для лица 50 мл,Beauty,5,1,0.7443256943112836,4,2.9773027772451344,very_suspicious,Я ещё не пробовала.
